region,year,GDP per capita
AFG,2002,1280.4631
AFG,2003,1292.3335
AFG,2004,1260.0605
AFG,2005,1352.3207
AFG,2006,1366.9932
AFG,2007,1528.3446
AFG,2008,1556.8445
AFG,2009,1823.7426
AFG,2010,2026.1638
AFG,2011,1961.0963
AFG,2012,2122.8308
AFG,2013,2165.3408
AFG,2014,2144.4497
AFG,2015,2108.714
AFG,2016,2101.422
AFG,2017,2096.093
AFG,2018,2060.699
AFG,2019,2079.9219
AFG,2020,1968.341
AFG,2021,1516.3057
ALB,1990,4827.9053
ALB,1991,3497.0054
ALB,1992,3265.4143
ALB,1993,3599.4646
ALB,1994,3922.3281
ALB,1995,4472.415
ALB,1996,4909.825
ALB,1997,4401.113
ALB,1998,4819.9443
ALB,1999,5475.845
ALB,2000,5893.654
ALB,2001,6442.612
ALB,2002,6755.1094
ALB,2003,7155.2964
ALB,2004,7581.5063
ALB,2005,8041.5435
ALB,2006,8570.107
ALB,2007,9151.78
ALB,2008,9913.951
ALB,2009,10315.777
ALB,2010,10751.421
ALB,2011,11054.788
ALB,2012,11229.992
ALB,2013,11363.318
ALB,2014,11588.925
ALB,2015,11880.598
ALB,2016,12294.077
ALB,2017,12773.269
ALB,2018,13319.495
ALB,2019,13655.665
ALB,2020,13256.125
ALB,2021,14518.906
DZA,1990,8828.874
DZA,1991,8517.377
DZA,1992,8471.527
DZA,1993,8109.884
DZA,1994,7869.2705
DZA,1995,8013.1235
DZA,1996,8195.86
DZA,1997,8147.8784
DZA,1998,8435.036
DZA,1999,8584.071
DZA,2000,8786.19
DZA,2001,8926.11
DZA,2002,9299.683
DZA,2003,9835.162
DZA,2004,10114.726
DZA,2005,10566.373
DZA,2006,10592.247
DZA,2007,10775.532
DZA,2008,10847.177
DZA,2009,10824.576
DZA,2010,11007.747
DZA,2011,11113.969
DZA,2012,11270.701
DZA,2013,11360.638
DZA,2014,11561.26
DZA,2015,11751.634
DZA,2016,11888.323
DZA,2017,11809.483
DZA,2018,11725.878
DZA,2019,11627.28
DZA,2020,10844.7705
DZA,2021,11039.806
AGO,1990,5768.5645
AGO,1991,5635.1665
AGO,1992,5136.5503
AGO,1993,3783.1143
AGO,1994,3713.1033
AGO,1995,4131.883
AGO,1996,4537.859
AGO,1997,4708.2793
AGO,1998,4770.1426
AGO,1999,4719.449
AGO,2000,4708.361
AGO,2001,4747.8276
AGO,2002,5219.634
AGO,2003,5195.307
AGO,2004,5565.581
AGO,2005,6178.327
AGO,2006,6648.7583
AGO,2007,7309.32
AGO,2008,7832.8896
AGO,2009,7613.7812
AGO,2010,7691.1313
AGO,2011,7664.44
AGO,2012,8012.101
AGO,2013,8100.3853
AGO,2014,8183.678
AGO,2015,7967.104
AGO,2016,7488.1387
AGO,2017,7216.0615
AGO,2018,6878.5933
AGO,2019,6602.424
AGO,2020,6032.275
AGO,2021,5908.57
ATG,1990,15264.63
ATG,1991,15521.875
ATG,1992,15452.782
ATG,1993,15978.309
ATG,1994,16730.518
ATG,1995,15690.93
ATG,1996,16391.719
ATG,1997,16943.895
ATG,1998,17414.447
ATG,1999,17754.545
ATG,2000,18545.92
ATG,2001,17433.018
ATG,2002,17388.543
ATG,2003,18237.268
ATG,2004,19077.41
ATG,2005,20076.44
ATG,2006,22340.793
ATG,2007,24088.123
ATG,2008,23727.38
ATG,2009,20571.906
ATG,2010,18702.09
ATG,2011,18117.186
ATG,2012,18526.39
ATG,2013,18243.814
ATG,2014,18779.48
ATG,2015,19345.018
ATG,2016,20267.918
ATG,2017,20777.875
ATG,2018,22085.262
ATG,2019,23035.658
ATG,2020,18275.69
ATG,2021,19124.43
ARG,1990,14136.525
ARG,1991,15209.487
ARG,1992,16190.511
ARG,1993,17282.965
ARG,1994,18046.893
ARG,1995,17303.924
ARG,1996,18031.549
ARG,1997,19261.898
ARG,1998,19773.176
ARG,1999,18884.943
ARG,2000,18524.81
ARG,2001,17514.504
ARG,2002,15439.745
ARG,2003,16631.574
ARG,2004,17950.15
ARG,2005,19338.146
ARG,2006,20679.242
ARG,2007,22316.256
ARG,2008,22992.39
ARG,2009,21413.283
ARG,2010,23521.27
ARG,2011,24647.629
ARG,2012,24118.867
ARG,2013,24424.137
ARG,2014,23550.1
ARG,2015,23933.887
ARG,2016,23189.527
ARG,2017,23597.117
ARG,2018,22747.242
ARG,2019,22071.748
ARG,2020,19685.217
ARG,2021,21527.195
ARM,1990,5153.2983
ARM,1991,4473.519
ARM,1992,2634.9631
ARM,1993,2484.5522
ARM,1994,2683.6375
ARM,1995,2912.781
ARM,1996,3105.953
ARM,1997,3236.0605
ARM,1998,3505.3684
ARM,1999,3660.0342
ARM,2000,3921.8574
ARM,2001,4346.9077
ARM,2002,4965.224
ARM,2003,5698.7783
ARM,2004,6334.856
ARM,2005,7259.204
ARM,2006,8273.786
ARM,2007,9476.472
ARM,2008,10201.56
ARM,2009,8819.678
ARM,2010,9068.788
ARM,2011,9551.158
ARM,2012,10289.976
ARM,2013,10677.304
ARM,2014,11105.532
ARM,2015,11506.039
ARM,2016,11580.384
ARM,2017,12509.64
ARM,2018,13231.431
ARM,2019,14317.553
ARM,2020,13357.697
ARM,2021,14193.117
ABW,1990,30823.482
ABW,1991,32222.658
ABW,1992,32986.543
ABW,1993,34336.555
ABW,1994,35984.83
ABW,1995,35780.723
ABW,1996,35125.926
ABW,1997,36479.94
ABW,1998,36105.26
ABW,1999,35495.25
ABW,2000,37241.03
ABW,2001,38123.344
ABW,2002,37309.79
ABW,2003,37353.56
ABW,2004,39713.848
ABW,2005,39166.133
ABW,2006,39146.91
ABW,2007,39866.715
ABW,2008,40096.78
ABW,2009,34978.008
ABW,2010,33639.395
ABW,2011,34446.855
ABW,2012,33815.11
ABW,2013,35720.7
ABW,2014,35467.234
ABW,2015,36490.523
ABW,2016,37043.7
ABW,2017,38865.188
ABW,2018,40706.75
ABW,2019,40780.516
ABW,2020,33155.242
ABW,2021,38866.332
AUS,1990,31006.1
AUS,1991,30496.127
AUS,1992,30285.854
AUS,1993,31232.586
AUS,1994,32164.658
AUS,1995,33044.844
AUS,1996,33905.26
AUS,1997,34852.75
AUS,1998,36099.023
AUS,1999,37475.98
AUS,2000,38494.887
AUS,2001,38779.6
AUS,2002,39872.15
AUS,2003,40642.562
AUS,2004,41905.85
AUS,2005,42704.44
AUS,2006,43286.723
AUS,2007,44109.668
AUS,2008,44777.273
AUS,2009,44684.402
AUS,2010,44965.395
AUS,2011,45405.367
AUS,2012,46360.605
AUS,2013,46744.625
AUS,2014,47240.273
AUS,2015,47567.68
AUS,2016,48109.203
AUS,2017,48400.246
AUS,2018,49052.816
AUS,2019,49379.094
AUS,2020,48747.85
AUS,2021,49774.34
AUT,1990,37494.56
AUT,1991,38399.676
AUT,1992,38774.492
AUT,1993,38658.65
AUT,1994,39435.21
AUT,1995,40425.395
AUT,1996,41319.375
AUT,1997,42136.664
AUT,1998,43597.89
AUT,1999,45060.617
AUT,2000,46469.86
AUT,2001,46878.918
AUT,2002,47419.277
AUT,2003,47633.113
AUT,2004,48633.273
AUT,2005,49387.027
AUT,2006,50840.695
AUT,2007,52565.074
AUT,2008,53166.055
AUT,2009,51030.727
AUT,2010,51843.43
AUT,2011,53179.15
AUT,2012,53297.445
AUT,2013,52997.754
AUT,2014,52932.9
AUT,2015,52873.86
AUT,2016,53345.742
AUT,2017,54172.99
AUT,2018,55217.285
AUT,2019,55806.438
AUT,2020,51988.414
AUT,2021,54121.145
AZE,1990,7616.91
AZE,1991,7463.629
AZE,1992,5690.181
AZE,1993,4309.9214
AZE,1994,3414.5112
AZE,1995,2976.995
AZE,1996,2985.3372
AZE,1997,3128.164
AZE,1998,3408.4753
AZE,1999,3628.7168
AZE,2000,3998.5205
AZE,2001,4360.4595
AZE,2002,4736.5645
AZE,2003,5180.6865
AZE,2004,5610.763
AZE,2005,7106.598
AZE,2006,9453.941
AZE,2007,11684.191
AZE,2008,12672.376
AZE,2009,13565.855
AZE,2010,14082.238
AZE,2011,13913.837
AZE,2012,14027.469
AZE,2013,14651.694
AZE,2014,14867.943
AZE,2015,14852.611
AZE,2016,14232.192
AZE,2017,14121.407
AZE,2018,14209.593
AZE,2019,14442.041
AZE,2020,13726.77
AZE,2021,14431.661
BHS,1990,36041.04
BHS,1991,33860.984
BHS,1992,31882.47
BHS,1993,31293.527
BHS,1994,31638.508
BHS,1995,32411.258
BHS,1996,33184.277
BHS,1997,34867.01
BHS,1998,32744.924
BHS,1999,36179.887
BHS,2000,37131.305
BHS,2001,37572.895
BHS,2002,38083.53
BHS,2003,37103.4
BHS,2004,36929.17
BHS,2005,37665.387
BHS,2006,38081.246
BHS,2007,38091.906
BHS,2008,36680.83
BHS,2009,34646.59
BHS,2010,34688.094
BHS,2011,34468.887
BHS,2012,35150.562
BHS,2013,33826.34
BHS,2014,34143.03
BHS,2015,34170.23
BHS,2016,33596.637
BHS,2017,34357.27
BHS,2018,34735.125
BHS,2019,35161.832
BHS,2020,26659.238
BHS,2021,30210.162
BHR,1990,36997.734
BHR,1991,39769.312
BHR,1992,40971.727
BHR,1993,44690.414
BHR,1994,43113.48
BHR,1995,43369.152
BHR,1996,43737.188
BHR,1997,43716.02
BHR,1998,44458.438
BHR,1999,45053.746
BHR,2000,46154.03
BHR,2001,46084.926
BHR,2002,46478.207
BHR,2003,47504.56
BHR,2004,47455.24
BHR,2005,46821.023
BHR,2006,46303.49
BHR,2007,46792.176
BHR,2008,46588.64
BHR,2009,44972.746
BHR,2010,45600.066
BHR,2011,46564.71
BHR,2012,47793.53
BHR,2013,48915.53
BHR,2014,49117.99
BHR,2015,48453.727
BHR,2016,48486.305
BHR,2017,48929.445
BHR,2018,48937.66
BHR,2019,49768.977
BHR,2020,47847.84
BHR,2021,49387.418
BGD,1990,1730.3689
BGD,1991,1756.3326
BGD,1992,1818.1508
BGD,1993,1867.7809
BGD,1994,1903.5808
BGD,1995,1964.0612
BGD,1996,2017.2135
BGD,1997,2070.4375
BGD,1998,2137.1501
BGD,1999,2194.5264
BGD,2000,2267.0754
BGD,2001,2337.3645
BGD,2002,2382.2815
BGD,2003,2451.9902
BGD,2004,2537.9507
BGD,2005,2663.0962
BGD,2006,2806.5928
BGD,2007,2973.2812
BGD,2008,3124.2268
BGD,2009,3253.0913
BGD,2010,3395.3647
BGD,2011,3571.0586
BGD,2012,3756.932
BGD,2013,3932.7083
BGD,2014,4119.425
BGD,2015,4337.3857
BGD,2016,4589.0938
BGD,2017,4830.776
BGD,2018,5124.4985
BGD,2019,5467.208
BGD,2020,5591.374
BGD,2021,5911.013
BRB,1990,14097.3955
BRB,1991,13519.722
BRB,1992,12710.419
BRB,1993,12772.787
BRB,1994,12993.924
BRB,1995,13225.754
BRB,1996,13726.032
BRB,1997,14353.12
BRB,1998,14864.666
